Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b3494,uspB,-2.4031,DOWN,656.1702843492656,2093.477982193997,--,--,--,--,--,--,K06144 universal stress protein B | (RefSeq) uspB; universal stress (ethanol tolerance) protein B,http://www.genome.jp/dbget-bin/www_bget?eco:b3494,universal stress (ethanol tolerance) protein B,-1437.3076978447314,64.0,99.0,163.0
b3161,mtr,-5.2195,DOWN,42.45092559307515,901.0416978842208,GO:0044765//GO:0044763//GO:0009987//GO:1902578//GO:0015849//GO:1903825//GO:0046942//GO:0055085//GO:0071702//GO:0071705//GO:0034220//GO:0006811//GO:0051234//GO:0051179//GO:0006810//GO:0008150//GO:0003333//GO:0006865//GO:0015711//GO:0044699//GO:0098656//GO:0006820,single-organism transport//single-organism cellular process//cellular process//single-organism localization//organic acid transport//organic acid transmembrane transport//carboxylic acid transport//transmembrane transport//organic substance transport//nitrogen compound transport//ion transmembrane transport//ion transport//establishment of localization//localization//transport//biological_process//amino acid transmembrane transport//amino acid transport//organic anion transport//single-organism process//anion transmembrane transport//anion transport,--,--,--,--,K03835 tryptophan-specific transport protein | (RefSeq) mtr; tryptophan transporter of high affinity,http://www.genome.jp/dbget-bin/www_bget?eco:b3161,tryptophan transporter of high affinity,-858.5907722911456,154.0,11.0,165.0
b2096,gatY,-2.0404,DOWN,5159.711546923885,13954.883931992299,GO:0008150//GO:0005975//GO:0044238//GO:0071704//GO:0008152,biological_process//carbohydrate metabolic process//primary metabolic process//organic substance metabolic process//metabolic process,--,--,GO:0005488//GO:0046914//GO:0043167//GO:0043169//GO:0008270//GO:0016832//GO:0016491//GO:0016829//GO:0003674//GO:0003824//GO:0046872//GO:0016830,binding//transition metal ion binding//ion binding//cation binding//zinc ion binding//aldehyde-lyase activity//oxidoreductase activity//lyase activity//molecular_function//catalytic activity//metal ion binding//carbon-carbon lyase activity,"K08302 tagatose 1,6-diphosphate aldolase GatY/KbaY [EC:4.1.2.40] | (RefSeq) gatY; D-tagatose 1,6-bisphosphate aldolase 2, catalytic subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b2096,D-tagatose 1%2C6-bisphosphate aldolase 2%2C catalytic subunit,-8795.172385068414,9.0,158.0,167.0
b0486,ybaT,-4.4152,DOWN,68.7919984291118,905.7672711091454,GO:0003008//GO:0009987//GO:1902578//GO:0044763//GO:0044765//GO:0044707//GO:0071705//GO:1903825//GO:0065007//GO:0015849//GO:0071702//GO:0055085//GO:0051239//GO:0046942//GO:0050880//GO:0006811//GO:0008015//GO:0003018//GO:0008217//GO:0034220//GO:0008150//GO:0003013//GO:0006810//GO:0051234//GO:0065008//GO:0051179//GO:0035150//GO:0042312//GO:0003333//GO:0042311//GO:0050789//GO:0015711//GO:0006865//GO:0044699//GO:0098656//GO:1903522//GO:0006820//GO:0032501//GO:0090066//GO:0044057,system process//cellular process//single-organism localization//single-organism cellular process//single-organism transport//single-multicellular organism process//nitrogen compound transport//organic acid transmembrane transport//biological regulation//organic acid transport//organic substance transport//transmembrane transport//regulation of multicellular organismal process//carboxylic acid transport//regulation of blood vessel size//ion transport//blood circulation//vascular process in circulatory system//regulation of blood pressure//ion transmembrane transport//biological_process//circulatory system process//transport//establishment of localization//regulation of biological quality//localization//regulation of tube size//regulation of vasodilation//amino acid transmembrane transport//vasodilation//regulation of biological process//organic anion transport//amino acid transport//single-organism process//anion transmembrane transport//regulation of blood circulation//anion transport//multicellular organismal process//regulation of anatomical structure size//regulation of system process,GO:0016020//GO:0005575//GO:0005576,membrane//cellular_component//extracellular region,GO:0003674//GO:0022857//GO:0022891//GO:0015171//GO:0005215//GO:0022892//GO:0005515//GO:0005179//GO:0008514//GO:0015075//GO:0008509//GO:0005102//GO:0046943//GO:0005488//GO:0005342,molecular_function//transmembrane transporter activity//substrate-specific transmembrane transporter activity//amino acid transmembrane transporter activity//transporter activity//substrate-specific transporter activity//protein binding//hormone activity//organic anion transmembrane transporter activity//ion transmembrane transporter activity//anion transmembrane transporter activity//receptor binding//carboxylic acid transmembrane transporter activity//binding//organic acid transmembrane transporter activity,no KO assigned | (RefSeq) ybaT; putative amino acid transporter,http://www.genome.jp/dbget-bin/www_bget?eco:b0486,putative amino acid transporter,-836.9752726800336,152.0,17.0,169.0
b1478,adhP,-2.9697,DOWN,227.5569219851675,1146.3457573992064,GO:0006810//GO:0008150//GO:0051179//GO:0051234//GO:0044699//GO:0055114//GO:0006812//GO:0044710//GO:0008152//GO:1902578//GO:0006813//GO:0044765//GO:0030001//GO:0006811//GO:0015672,transport//biological_process//localization//establishment of localization//single-organism process//oxidation-reduction process//cation transport//single-organism metabolic process//metabolic process//single-organism localization//potassium ion transport//single-organism transport//metal ion transport//ion transport//monovalent inorganic cation transport,--,--,GO:0005488//GO:0003674//GO:0048037,binding//molecular_function//cofactor binding,"K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] | (RefSeq) adhP; ethanol-active dehydrogenase/acetaldehyde-active reductase",http://www.genome.jp/dbget-bin/www_bget?eco:b1478,ethanol-active dehydrogenase/acetaldehyde-active reductase,-918.7888354140389,123.0,65.0,188.0
b2899,yqfA,-2.3035,DOWN,518.1587187461034,1685.3316466380566,--,--,GO:0016021//GO:0016020//GO:0031224//GO:0044425//GO:0005575,integral component of membrane//membrane//intrinsic component of membrane//membrane part//cellular_component,--,--,K11068 hemolysin III | (RefSeq) yqfA; hemolysin III family HylIII inner membrane protein,http://www.genome.jp/dbget-bin/www_bget?eco:b2899,hemolysin III family HylIII inner membrane protein,-1167.1729278919531,78.0,114.0,192.0
b0631,ybeD,-2.8421,DOWN,252.3198634794395,1144.11732071938,GO:0000105//GO:0019752//GO:1901576//GO:0008150//GO:0006807//GO:0018130//GO:1901564//GO:0044699//GO:0044237//GO:0046483//GO:0006520//GO:0006725//GO:1901607//GO:1901605//GO:1901566//GO:0043436//GO:0006082//GO:0016053//GO:0008152//GO:0044710//GO:0044283//GO:0044763//GO:0044711//GO:0044281//GO:0006547//GO:0009987//GO:1901362//GO:1901360//GO:0009058//GO:0052803//GO:0044238//GO:0071704//GO:0008652//GO:0019438//GO:0046394//GO:0034641//GO:0044249,histidine biosynthetic process//carboxylic acid metabolic process//organic substance biosynthetic process//biological_process//nitrogen compound metabolic process//heterocycle biosynthetic process//organonitrogen compound metabolic process//single-organism process//cellular metabolic process//heterocycle metabolic process//cellular amino acid metabolic process//cellular aromatic compound metabolic process//alpha-amino acid biosynthetic process//alpha-amino acid metabolic process//organonitrogen compound biosynthetic process//oxoacid metabolic process//organic acid metabolic process//organic acid biosynthetic process//metabolic process//single-organism metabolic process//small molecule biosynthetic process//single-organism cellular process//single-organism biosynthetic process//small molecule metabolic process//histidine metabolic process//cellular process//organic cyclic compound biosynthetic process//organic cyclic compound metabolic process//biosynthetic process//imidazole-containing compound metabolic process//primary metabolic process//organic substance metabolic process//cellular amino acid biosynthetic process//aromatic compound biosynthetic process//carboxylic acid biosynthetic process//cellular nitrogen compound metabolic process//cellular biosynthetic process,GO:0044464//GO:0005575//GO:0005737//GO:0005622//GO:0005623//GO:0044424,cell part//cellular_component//cytoplasm//intracellular//cell//intracellular part,GO:0003879//GO:0043169//GO:0016757//GO:0000287//GO:0005488//GO:0043167//GO:0046872//GO:0016740//GO:0003824//GO:0016763//GO:0003674,"ATP phosphoribosyltransferase activity//cation binding//transferase activity, transferring glycosyl groups//magnesium ion binding//binding//ion binding//metal ion binding//transferase activity//catalytic activity//transferase activity, transferring pentosyl groups//molecular_function",K09158 uncharacterized protein | (RefSeq) ybeD; UPF0250 family protein,http://www.genome.jp/dbget-bin/www_bget?eco:b0631,UPF0250 family protein,-891.7974572399404,124.0,69.0,193.0
b3588,aldB,-2.4734,DOWN,408.463762509729,1379.3328671655065,GO:0044710//GO:0008152//GO:0055114//GO:0044699//GO:0008150,single-organism metabolic process//metabolic process//oxidation-reduction process//single-organism process//biological_process,--,--,GO:0003824//GO:0003674//GO:0016491,catalytic activity//molecular_function//oxidoreductase activity,K00138 aldehyde dehydrogenase [EC:1.2.1.-] | (RefSeq) aldB; aldehyde dehydrogenase B,http://www.genome.jp/dbget-bin/www_bget?eco:b3588,aldehyde dehydrogenase B,-970.8691046557775,101.0,92.0,193.0
b1241,adhE,-2.3492,DOWN,454.96800179009006,1479.0973623915968,GO:0044237//GO:0046483//GO:0010556//GO:0050789//GO:0044260//GO:0032774//GO:0044699//GO:0055114//GO:0043170//GO:0006355//GO:0006725//GO:0031326//GO:1901576//GO:0008150//GO:0097659//GO:0006351//GO:0019222//GO:0006807//GO:0006139//GO:0016070//GO:0060255//GO:0010467//GO:1903506//GO:0018130//GO:0050794//GO:0051171//GO:2000112//GO:0009058//GO:0044238//GO:0071704//GO:0031323//GO:1901362//GO:0065007//GO:1901360//GO:0044249//GO:0019438//GO:0009889//GO:0080090//GO:0034641//GO:0044710//GO:0008152//GO:0010468//GO:0009987//GO:0019219//GO:0009059//GO:0090304//GO:2001141//GO:0034654//GO:0034645//GO:0044271//GO:0051252,"cellular metabolic process//heterocycle metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//cellular macromolecule metabolic process//RNA biosynthetic process//single-organism process//oxidation-reduction process//macromolecule metabolic process//regulation of transcription, DNA-templated//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//organic substance biosynthetic process//biological_process//nucleic acid-templated transcription//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//nucleobase-containing compound metabolic process//RNA metabolic process//regulation of macromolecule metabolic process//gene expression//regulation of nucleic acid-templated transcription//heterocycle biosynthetic process//regulation of cellular process//regulation of nitrogen compound metabolic process//regulation of cellular macromolecule biosynthetic process//biosynthetic process//primary metabolic process//organic substance metabolic process//regulation of cellular metabolic process//organic cyclic compound biosynthetic process//biological regulation//organic cyclic compound metabolic process//cellular biosynthetic process//aromatic compound biosynthetic process//regulation of biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//single-organism metabolic process//metabolic process//regulation of gene expression//cellular process//regulation of nucleobase-containing compound metabolic process//macromolecule biosynthetic process//nucleic acid metabolic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//cellular macromolecule biosynthetic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process",GO:0031224//GO:0044425//GO:0005575//GO:0016021//GO:0016020,intrinsic component of membrane//membrane part//cellular_component//integral component of membrane//membrane,GO:0043565//GO:0043167//GO:0097159//GO:0005488//GO:0016491//GO:0043169//GO:1901363//GO:0046872//GO:0003676//GO:0003677//GO:0003824//GO:0003674,sequence-specific DNA binding//ion binding//organic cyclic compound binding//binding//oxidoreductase activity//cation binding//heterocyclic compound binding//metal ion binding//nucleic acid binding//DNA binding//catalytic activity//molecular_function,K04072 acetaldehyde dehydrogenase / alcohol dehydrogenase [EC:1.2.1.10 1.1.1.1] | (RefSeq) adhE; fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,http://www.genome.jp/dbget-bin/www_bget?eco:b1241,fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase,-1024.1293606015067,91.0,103.0,194.0
b2465,tktB,-2.8457,DOWN,241.501063115998,1082.2799158205232,GO:0009987//GO:0044763//GO:0044711//GO:0044710//GO:0016114//GO:0008610//GO:0008152//GO:0008299//GO:0044255//GO:0044249//GO:0009058//GO:0044238//GO:0071704//GO:0006629//GO:1901576//GO:0008150//GO:0006721//GO:0006720//GO:0044237//GO:0044699,cellular process//single-organism cellular process//single-organism biosynthetic process//single-organism metabolic process//terpenoid biosynthetic process//lipid biosynthetic process//metabolic process//isoprenoid biosynthetic process//cellular lipid metabolic process//cellular biosynthetic process//biosynthetic process//primary metabolic process//organic substance metabolic process//lipid metabolic process//organic substance biosynthetic process//biological_process//terpenoid metabolic process//isoprenoid metabolic process//cellular metabolic process//single-organism process,--,--,GO:0003674//GO:0016624//GO:0003824//GO:1901681//GO:0016740//GO:1901363//GO:0050662//GO:0048037//GO:0036094//GO:0030976//GO:0043169//GO:0016903//GO:0043168//GO:0016491//GO:0043167//GO:0019842//GO:0097159//GO:0008661//GO:0005488//GO:0016744,"molecular_function//oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor//catalytic activity//sulfur compound binding//transferase activity//heterocyclic compound binding//coenzyme binding//cofactor binding//small molecule binding//thiamine pyrophosphate binding//cation binding//oxidoreductase activity, acting on the aldehyde or oxo group of donors//anion binding//oxidoreductase activity//ion binding//vitamin binding//organic cyclic compound binding//1-deoxy-D-xylulose-5-phosphate synthase activity//binding//transferase activity, transferring aldehyde or ketonic groups","K00615 transketolase [EC:2.2.1.1] | (RefSeq) tktB; transketolase 2, thiamine triphosphate-binding",http://www.genome.jp/dbget-bin/www_bget?eco:b2465,transketolase 2%2C thiamine triphosphate-binding,-840.7788527045252,129.0,68.0,197.0
